,MAE,RMSE,R2,Model,Experiment
0,0.2369476792930214,0.4719887417784265,0.6798745386367973,Random_Forest,Outliers
1,0.24371612927051037,0.4712738857122556,0.680843503821152,Gradient_Boosting,Outliers
2,0.2633949372541905,0.5015190050023591,0.6385637326721034,XGBoost,Outliers
3,0.3382234781267966,0.5847069873721363,0.5087149985721768,Poisson,Outliers
4,0.3578774783343497,0.8328343463077046,0.0032776594191320507,Negative_Binomial,Outliers
